iter	Passed	Remaining
812	22599	5198
813	22623	5169
814	22648	5140
815	22669	5111
816	22693	5083
817	22717	5054
818	22764	5031
819	22815	5008
820	22841	4980
821	22866	4951
822	22888	4922
823	22910	4893
824	22934	4864
825	22955	4835
826	22983	4807
827	23027	4783
828	23059	4756
829	23086	4728
830	23111	4700
831	23135	4671
832	23158	4642
833	23181	4614
834	23219	4588
835	23262	4563
836	23285	4534
837	23308	4505
838	23331	4477
839	23353	4448
840	23377	4419
841	23398	4390
842	23420	4361
843	23455	4335
844	23496	4310
845	23526	4282
846	23551	4254
847	23577	4226
848	23597	4197
849	23621	4168
850	23641	4139
851	23666	4111
852	23706	4085
853	23747	4059
854	23774	4031
855	23800	4003
856	23824	3975
857	23845	3946
858	23867	3917
859	23906	3891
860	23950	3866
861	23974	3838
862	23997	3809
863	24018	3780
864	24040	3751
865	24059	3722
866	24082	3694
867	24106	3665
868	24144	3639
869	24189	3614
870	24221	3587
871	24246	3559
872	24270	3530
873	24294	3502
874	24317	3473
875	24348	3446
876	24393	3421
877	24435	3395
878	24492	3371
879	24537	3345
880	24622	3325
881	24657	3298
882	24710	3274
883	24738	3246
884	24766	3218
885	24794	3190
886	24823	3162
887	24874	3137
888	24911	3110
889	24939	3082
890	24965	3054
891	25037	3031
892	25097	3007
893	25129	2979
894	25158	2951
895	25186	2923
896	25212	2895
897	25239	2866
898	25289	2841
899	25317	2813
900	25341	2784
901	25367	2756
902	25391	2727
903	25415	2699
904	25438	2670
905	25472	2642
906	25514	2616
907	25546	2588
908	25574	2560
909	25599	2531
910	25623	2503
911	25647	2474
912	25672	2446
913	25713	2419
914	25747	2391
915	25769	2363
916	25791	2334
917	25815	2305
918	25835	2277
919	25857	2248
920	25880	2219
921	25918	2192
922	25959	2165
923	25984	2137
924	26011	2109
925	26035	2080
926	26060	2052
927	26083	2023
928	26122	1996
929	26159	1969
930	26181	1940
931	26204	1911
932	26224	1883
933	26248	1854
934	26272	1826
935	26294	1797
936	26340	1771
937	26374	1743
938	26399	1714
939	26424	1686
940	26448	1658
941	26471	1629
942	26494	1601
943	26534	1574
944	26576	1546
945	26601	1518
946	26626	1490
947	26650	1461
948	26672	1433
949	26695	1405
950	26737	1377
951	26773	1349
952	26797	1321
953	26821	1293
954	26846	1264
955	26869	1236
956	26893	1208
957	26935	1180
958	26980	1153
959	27005	1125
960	27030	1096
961	27054	1068
962	27076	1040
963	27099	1012
964	27123	983
965	27153	955
966	27196	928
967	27226	900
968	27250	871
969	27273	843
970	27298	815
971	27322	787
972	27347	758
973	27387	731
974	27433	703
975	27457	675
976	27483	646
977	27505	618
978	27530	590
979	27555	562
980	27578	534
981	27605	506
982	27652	478
983	27683	450
984	27708	421
985	27731	393
986	27754	365
987	27777	337
988	27800	309
